,,
,,
,,
,,
GÖR ER EGEN EDTECHKARTA - kartlägg er digitala miljö,,Skola - Edtechkartan | Swedish Edtech Industry
"Ladda ner alt kopiera dokumentet för att skriva in vilka olika leverantörer som finns representerade hos er kopplat till de olika områdena/processerna, filtrera och analysera.",,
Huvudområde:,Område,Leverantör(er) 
HUVUDMAN,Analysera verksamhetsdata,
HUVUDMAN,Ansökan och placering,
HUVUDMAN,Avgifter och utbetalningar,
HUVUDMAN,Dialog med hemmet,
HUVUDMAN,Digitala samtycken,
HUVUDMAN,Distribution,
HUVUDMAN,Ekonomihantering,
HUVUDMAN,Elevantagning,
HUVUDMAN,Enkäter och utvärdering,
HUVUDMAN,Hantera personrelaterad information,
HUVUDMAN,Hantering av betyg,
HUVUDMAN,Hårdvara,
HUVUDMAN,Identitets- och behörighetshantering,
HUVUDMAN,IDP- och SSO-tjänster,
HUVUDMAN,Internet och lokala nätverk,
HUVUDMAN,Kataloger och metakataloger,
HUVUDMAN,Kommunalt aktivitetsansvar,
HUVUDMAN,Kompetensutveckling,
HUVUDMAN,Managering,
HUVUDMAN,Medarbetarsamtal,
HUVUDMAN,Myndighetsrapportering,
HUVUDMAN,"Organisationshantering, grunduppgifter",
HUVUDMAN,Personalhantering,
HUVUDMAN,Provisionering,
HUVUDMAN,Regelefterlevnad,
HUVUDMAN,Resursfördelningsansvar,
HUVUDMAN,Skolpliktsbevakning,
HUVUDMAN,Skolskjutsplanering,
HUVUDMAN,Systematiskt kvalitetsarbete,
HUVUDMAN,Tilldelning och åtkomst,
Huvudområde:,Område/process,Leverantör(er) 
SKOLLEDNING,Administrera barn- elevgrupper,
SKOLLEDNING,Administrera personaluppgifter,
SKOLLEDNING,Administrera studie- kursplaner,
SKOLLEDNING,Analysera verksamhetsdata,
SKOLLEDNING,Dialog med hemmet,
SKOLLEDNING,Digitala samtycken,
SKOLLEDNING,Distribution,
SKOLLEDNING,Elevhälsa och journalhantering,
SKOLLEDNING,Enkäter och utvärderingar,
SKOLLEDNING,Frånvarohantering,
SKOLLEDNING,Hantering av betyg,
SKOLLEDNING,Kompetensutveckling,
SKOLLEDNING,Medarbetarsamtal,
SKOLLEDNING,Myndighetsrapportering,
SKOLLEDNING,"Organisationshantering, grunduppgifter",
SKOLLEDNING,Planera målstyrd undervisning,
SKOLLEDNING,Regelefterlevnad,
SKOLLEDNING,Resursbokning,
SKOLLEDNING,Resursfördelning,
SKOLLEDNING,Schemaläggning,
SKOLLEDNING,Schemavisning,
SKOLLEDNING,Skolbibliotek,
SKOLLEDNING,Stödinsatser,
SKOLLEDNING,Systematiskt kvalitetsarbete,
SKOLLEDNING,Tjänsteplanering,
SKOLLEDNING,Verksamhetsplanering,
Huvudområde,Område/process:,Leverantör(er) 
UNDERVISNING,Använda digitala läromedel,
UNDERVISNING,Använda digitala läromedelsspel,
UNDERVISNING,Använda digitalt innehåll,
UNDERVISNING,Dela material,
UNDERVISNING,Dialog med hemmet,
UNDERVISNING,Distribution,
UNDERVISNING,Enkäter och utvärderingar,
UNDERVISNING,Formativ bedömning,
UNDERVISNING,Frånvarorapportering,
UNDERVISNING,Hälsofrämjande arbete,
UNDERVISNING,Individuell kunskapsutveckling,
UNDERVISNING,Individuell studieplan,
UNDERVISNING,Individuell utvecklingsplan,
UNDERVISNING,Kompetensutveckling,
UNDERVISNING,Kunskapsmätning,
UNDERVISNING,Pedagogisk dokumentation och reflektion,
UNDERVISNING,Pedagogisk planering,
UNDERVISNING,"Rapportera betyg, nationella prov",
UNDERVISNING,Skapa innehåll,
UNDERVISNING,Stödverktyg,
UNDERVISNING,Summativ bedömning,
UNDERVISNING,Utvecklingssamtal,
