"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"b"	""	"KROPPSFUNKTIONER"	""	"Kroppsfunktioner är kroppssystemens fysiologiska funktioner, inklusive psykologiska funktioner. Funktionsnedsättningar är problem i kroppsfunktioner i form av en påvisbar avvikelse eller förlust."	""	""	"Under uppväxten kan funktionsnedsättningar också ta sig uttryck i form av försenad eller långsam utveckling av kroppsstrukturer"	"<div>För kroppsfunktioner finns det en bedömningsfaktor. Bedömningsfaktorn är en generisk skala som används för att ange graden eller storleken av en funktionsnedsättning.</div><div><br></div><div><b>Grad av funktionsnedsättning</b></div><div><ul><li>xxx.0 INGET problem (ingen, frånvarande, försumbar,…)</li><li>xxx.1 LÄTT problem (lätt, låg,…)</li><li>xxx.2 MÅTTLIGT problem (medel, ganska stor,…)</li><li>xxx.3 SVÅRT problem (grav, hög, stor, extrem,…)</li><li>xxx.4 TOTALT problem (fullständig,…)</li><li>xxx.8 ej specificerat problem</li><li>xxx.9 ej tillämpbart</li></ul></div>"
"b1"	"b"	"Psykiska funktioner"	""	"Detta kapitel handlar om hjärnans och det centrala nervsystemets funktioner, såväl övergripande funktioner såsom medvetande, energi och drift som specifika psykiska funktioner såsom minne, språk och kalkylerande psykiska funktioner."	""	""	""	""
"b110"	"b110-b139"	"Medvetande- och vakenhetsfunktioner"	"Medvetande och vakenhet"	"Allmänna psykiska funktioner rörande tillstånd av medvetenhet och vakenhet inklusive tillståndets klarhet och kontinuitet"	"funktioner för att upprätthålla tillståndet, kontinuiteten och kvaliteten gällande medvetenhet och vakenhet"	"orienteringsfunktioner (b114); energi och driftfunktioner (b130); sömnfunktioner (b134);"	"funktionsnedsättningar vilka yttrar sig som medvetslöshet, koma, fuguetillstånd, vegetativa tillstånd, transtillstånd, besatthetstillstånd, delirium, stupor och förändrat medvetande orsakat av droger/läkemedel"	""
"b110-b139"	"b1"	"Övergripande psykiska funktioner"	""	""	""	""	""	""
"b1100"	"b110"	"Funktioner för att upprätthålla medvetande och vakenhet"	"Upprätthålla medvetande och vakenhet"	"Psykiska funktioner för att upprätthålla medvetande och vakenhet"	""	""	"funktionsnedsättningar vilka yttrar sig som medvetslöshet, koma eller stupor"	""
"b1101"	"b110"	"Funktioner för att upprätthålla kontinuiteten i medvetande och vakenhet"	"Upprätthålla kontinuiteten i medvetande och vakenhet"	"Psykiska funktioner för att upprätthålla kontinuiteten i medvetande och vakenhet"	""	""	"funktionsnedsättningar vilka yttrar sig som fuguetillstånd, trans eller andra likartade tillstånd"	""
"b1102"	"b110"	"Funktioner för att upprätthålla kvaliteten i medvetande och vakenhet"	"Upprätthålla kvaliteten i medvetande och vakenhet"	"Psykiska funktioner involverade i att upprätthålla kvaliteten i medvetande och vakenhet"	""	""	"funktionsnedsättningar som vid förändrat medvetande orsakat av droger/läkemedel och vilka yttrar sig som delirium"	""
"b1108"	"b110"	"Medvetande och vakenhetsfunktioner, andra specificerade"	""	""	""	""	""	""
"b1109"	"b110"	"Medvetande och vakenhetsfunktioner, ospecificerade"	""	""	""	""	""	""
"b114"	"b110-b139"	"Orienteringsfunktioner"	"Orientering"	"Allmänna psykiska funktioner av att känna till och fastställa sin relation till tid, rum, sig själv och andra, till föremål och närmaste omgivning"	"funktioner involverade i orientering till tid, rum, person; föremål och närmaste omgivning"	"medvetande och vakenhetsfunktioner (b110); uppmärksamhetsfunktioner (b140); minnesfunktioner (b144)"	"funktionsnedsättningar vilka yttrar sig som desorientering till tid, rum, närmaste omgivning och person"	""
