"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Relaterad ICF-kod"
"SA-SC"	""	"Aktiviteter gällande lärande och att tillämpa kunskap"	""	""	""	""
"SA1"	"SA-SC"	"Lärande och att tillämpa kunskap"	"Detta kapitel handlar om lärande, tillämpning av kunskap som är inlärd, tänkande, problemlösning och beslutsfattande"	""	""	"d1"
"SA1.AA.ZZ"	"SA1"	"Bedömning av lärande och att tillämpa kunskap"	"Bedömning av förmågan – att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut – samt bedömning av behov av insatser, grundat på insamlad information"	"bedömning av målinriktade sinnesupplevelser (SA2.AA.ZZ); grundläggande lärande (SB2.AA.ZZ); att tillämpa kunskap (SC2.AA.ZZ)"	""	"d110-d199"
"SA1.AC.ZZ"	"SA1"	"Manualbaserat test eller samtal om lärande och att tillämpa kunskap"	"Manualbaserat test eller samtal för att utreda eller följa upp förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	""	""	"d110-d199"
"SA1.AM.ZZ"	"SA1"	"Observation av lärande och att tillämpa kunskap"	"Iakttagelser för att utreda eller följa upp förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	"observation av grundläggande lärande (SB2.AM.ZZ); att tillämpa kunskap (SC2.AM.ZZ)"	""	"d110-d199"
"SA1.AS.ZZ"	"SA1"	"Utredande samtal om lärande och att tillämpa kunskap"	"Samtal som görs för att utreda förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	"utredande samtal om målinriktade sinnesupplevelser (SA2.AS.ZZ); grundläggande lärande (SB2.AS.ZZ); att tillämpa kunskap (SC2.AS.ZZ)"	""	"d110-d199"
"SA1.AT.ZZ"	"SA1"	"Inhämtning av uppgifter, från professionell, om lärande och att tillämpa kunskap"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	"inhämtning av uppgifter, från professionell, om målinriktade sinnesupplevelser (SA2.AT.ZZ); grundläggande lärande (SB2.AT.ZZ); att tillämpa kunskap (SC2.AT.ZZ)"	""	"d110-d199"
"SA1.AU.ZZ"	"SA1"	"Inhämtning av uppgifter, från annan, om lärande och att tillämpa kunskap"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående) om förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	"inhämtning av uppgifter, från annan, om målinriktade sinnesupplevelser (SA2.AU.ZZ); grundläggande lärande (SB2.AU.ZZ); att tillämpa kunskap (SC2.AU.ZZ)"	""	"d110-d199"
"SA1.AV.ZZ"	"SA1"	"Uppföljande samtal om lärande och att tillämpa kunskap"	"Samtal som görs för att följa upp förmågan – att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut – i relation till mål och måluppfyllelse"	"uppföljande samtal om målinriktade sinnesupplevelser (SA2.AV.ZZ); grundläggande lärande (SB2.AV.ZZ); att tillämpa kunskap (SC2.AV.ZZ)"	""	"d110-d199"
"SA1.AX.ZZ"	"SA1"	"Annan specificerad utredande eller uppföljande aktivitet om lärande och att tillämpa kunskap"	"Annan specificerad utredande eller uppföljande aktivitet gällande att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut - som inte är specificerad i klassifikationen"	""	""	"d110-d199"
"SA1.AZ.ZZ"	"SA1"	"Utredande eller uppföljande aktivitet om lärande och att tillämpa kunskap, ospecificerad"	"Ospecificerad utredande eller uppföljande aktivitet, gällande förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	""	""	"d110-d199"
"SA1.PH.ZZ"	"SA1"	"Färdighetsträning i lärande och att tillämpa kunskap"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut – genom praktiska övningar i relevant miljö"	"färdighetsträning i grundläggande lärande (SB2.PH.ZZ); att tillämpa kunskap (SC2.PH.ZZ)"	""	"d110-d199"
"SA1.PN.ZZ"	"SA1"	"Råd eller information om lärande och att tillämpa kunskap"	"Aktivitet att ge råd eller information för att uppmuntra en förändring av eller bibehållande av förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut – i relation till hälsa (eller risker)"	"råd eller information om grundläggande lärande (SB2.PN.ZZ); att tillämpa kunskap (SC2.PN.ZZ)"	""	"d110-d199"
"SA1.PU.ZZ"	"SA1"	"Stödjande samtal om lärande och att tillämpa kunskap"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	"stödjande samtal om grundläggande lärande (SB2.PU.ZZ); att tillämpa kunskap (SC2.PU.ZZ)"	""	"d110-d199"
"SA1.PV.ZZ"	"SA1"	"Behandlande samtal om lärande och att tillämpa kunskap"	"Teori- och metodbaserad terapeutisk kommunikation (som inbegriper samtal, förståelse av information och annat kunskapsutbyte) i syfte att förändra eller öka förståelsen för individens egen situation för att åstadkomma en förändring av förmågan att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	"behandlande samtal om att tillämpa kunskap (SC2.PV.ZZ)"	""	"d110-d199"
"SA1.RB.ZZ"	"SA1"	"Praktiskt stöd i lärande och att tillämpa kunskap"	"Aktivitet att praktiskt stödja eller guida individen i att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och fatta beslut"	"praktiskt stöd i målinriktade sinnesupplevelser (SA2.RB.ZZ); grundläggande lärande (SB2.RB.ZZ); att tillämpa kunskap (SC2.RB.ZZ)"	""	"d110-d199"
"SA1.RC.ZZ"	"SA1"	"Emotionellt stöd i lärande och att tillämpa kunskap"	"Aktivitet att känslomässigt stödja eller motivera individen i att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och att fatta beslut"	"emotionellt stöd i målinriktade sinnesupplevelser (SA2.RC.ZZ); grundläggande lärande (SB2.RC.ZZ); att tillämpa kunskap (SC2.RC.ZZ)"	""	"d110-d199"
"SA1.SX.ZZ"	"SA1"	"Annan specificerad individstödjande aktivitet om lärande och att tillämpa kunskap"	"Annan specificerad individstödjande aktivitet gällande att lära, tillämpa kunskap som är inlärd, tänka, lösa problem och att fatta beslut - som inte är specificerad i klassifikationen"	""	""	"d110-d199"
"SA1.SZ.ZZ"	"SA1"	"Stöd inom lärande och att tillämpa kunskap"	"Ospecificerad individstödjande aktivitet avseende lärande, tillämpning av kunskap som är inlärd, tänkande, problemlösning och beslutsfattande"	"stöd i målinriktade sinnesupplevelser (SA2.SZ.ZZ); grundläggande lärande (SB2.SZ.ZZ); att tillämpa kunskap (SC2.SZ.ZZ)"	""	"d110-d199"
"SA2"	"SA-SC"	"Målinriktade sinnesupplevelser"	"Avsiktlig användning av syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli"	""	""	"d110-d129"
"SA2.AA.ZZ"	"SA2"	"Bedömning av målinriktade sinnesupplevelser"	"Bedömning av förmågan – att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli – samt bedömning av behov av insatser, grundat på insamlad information"	""	""	"d110-d129"
"SA2.AS.ZZ"	"SA2"	"Utredande samtal om målinriktade sinnesupplevelser"	"Samtal som görs för att utreda förmågan att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli"	""	""	"d110-d129"
"SA2.AT.ZZ"	"SA2"	"Inhämtning av uppgifter, från professionell, om målinriktade sinnesupplevelser"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli"	""	""	"d110-d129"
"SA2.AU.ZZ"	"SA2"	"Inhämtning av uppgifter, från annan, om målinriktade sinnesupplevelser"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli"	""	""	"d110-d129"
"SA2.AV.ZZ"	"SA2"	"Uppföljande samtal om målinriktade sinnesupplevelser"	"Samtal som görs för att följa upp förmågan – att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli – i relation till mål och måluppfyllelse"	""	""	"d110-d129"
"SA2.RB.ZZ"	"SA2"	"Praktiskt stöd i målinriktade sinnesupplevelser"	"Aktivitet att praktiskt stödja eller guida individen i att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli"	""	""	"d110-d129"
"SA2.RC.ZZ"	"SA2"	"Emotionellt stöd i målinriktade sinnesupplevelser"	"Aktivitet att känslomässigt stödja eller motivera individen i att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli"	""	""	"d110-d129"
"SA2.SZ.ZZ"	"SA2"	"Stöd i målinriktade sinnesupplevelser"	"Ospecificerad individstödjande aktivitet i att använda syn, hörsel, känsel, smak och lukt för att uppfatta olika stimuli"	""	""	"d110-d129"
"SB2"	"SA-SC"	"Grundläggande lärande"	"Att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	""	""	"d130-d159"
"SB2.AA.ZZ"	"SB2"	"Bedömning av grundläggande lärande"	"Bedömning av förmågan – att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter – samt bedömning av behov av insatser, grundat på insamlad information"	"bedömning av att ta reda på information (SBH.AA.ZZ), förvärva färdigheter (SBQ.AA.ZZ)"	""	"d130-d159"
"SB2.AM.ZZ"	"SB2"	"Observation av grundläggande lärande"	"Iakttagelser för att utreda eller följa upp förmågan att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"observation av att ta reda på information (SBH.AM.ZZ), förvärva färdigheter (SBQ.AM.ZZ)"	""	"d130-d159"
"SB2.AS.ZZ"	"SB2"	"Utredande samtal om grundläggande lärande"	"Samtal som görs för att utreda förmågan att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"utredande samtal om att ta reda på information (SBH.AS.ZZ), förvärva färdigheter (SBQ.AS.ZZ)"	""	"d130-d159"
"SB2.AT.ZZ"	"SB2"	"Inhämtning av uppgifter, från professionell, om grundläggande lärande"	"Aktivitet att inhämta relevanta uppgifter, från professionell aktör, om förmågan att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"inhämtning av uppgifter, från professionell, om att ta reda på information (SBH.AT.ZZ), förvärva färdigheter (SBQ.AT.ZZ)"	""	"d130-d159"
"SB2.AU.ZZ"	"SB2"	"Inhämtning av uppgifter, från annan, om grundläggande lärande"	"Aktivitet att inhämta relevanta uppgifter, från annan (t.ex. närstående), om förmågan att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"inhämtning av uppgifter, från professionell annan, om att ta reda på information (SBH.AU.ZZ), förvärva färdigheter (SBQ.AU.ZZ)"	""	"d130-d159"
"SB2.AV.ZZ"	"SB2"	"Uppföljande samtal om grundläggande lärande"	"Samtal som görs för att följa upp förmågan – att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter – i relation till mål och måluppfyllelse"	"uppföljande samtal om att ta reda på information (SBH.AV.ZZ) förvärva färdigheter (SBQ.AV.ZZ)"	""	"d130-d159"
"SB2.PH.ZZ"	"SB2"	"Färdighetsträning i grundläggande lärande"	"Aktivitet att lära, förbättra eller utveckla färdigheter – i att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter – genom praktiska övningar i relevant miljö"	"färdighetsträning i att ta reda på information (SBH.PH.ZZ), förvärva färdigheter (SBQ.PH.ZZ)"	""	"d130-d159"
"SB2.PN.ZZ"	"SB2"	"Råd eller information om grundläggande lärande"	"Aktivitet att ge råd eller information för att uppmuntra en förändring av eller bibehållande av förmågan att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter – i relation till hälsa (eller risker)"	"råd eller information om att ta reda på information (SBH.PN.ZZ), förvärva färdigheter (SBQ.PN.ZZ)"	""	"d130-d159"
"SB2.PU.ZZ"	"SB2"	"Stödjande samtal om grundläggande lärande"	"Teori- och metodbaserat samtal för att hitta strategier för att lösa eller lindra problem och svårigheter som uppstår genom det dagliga livets krav och individens förmåga att härma, repetera, lära sig läsa, skriva, räkna och beräkna och förvärva färdigheter"	"stödjande samtal om att förvärva färdigheter (SBQ.PU.ZZ)"	""	"d130-d159"
