"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Relaterad ICF-kod"	"Relaterad ICD-10-SE-kod"
"A"	""	"Utredning, anatomiskt perspektiv"	"Utredande åtgärder relaterade till mänsklig struktur och psyke"	""	""	""	""	""	""
"AA"	"A"	"Nervsystemet, kraniet och intrakraniella strukturer"	""	""	""	""	""	""	""
"AA001"	"AA"	"Adenosintest"	"Test för att pröva om adenosin intravenöst påverkar patientens smärta"	""	""	""	""	""	""
"AA002"	"AA"	"Algometri"	"Mätning av smärttrösklar vid tryck i hud och mjukvävnad"	""	""	""	""	""	""
"AA003"	"AA"	"Amplitudintegrerat EEG, långtidsövervakning"	""	""	""	""	""	""	""
"AA004"	"AA"	"Angiografi av a. vertebralis"	""	""	""	""	""	""	""
"AA005"	"AA"	"Angiografi av a. carotis interna"	""	""	""	""	""	""	""
"AA006"	"AA"	"Angiografi av skalle, kombination av två eller flera angiografier"	""	""	""	""	""	""	""
"AA007"	"AA"	"Angiografi, spinal, 1-3 kärl"	""	""	""	""	""	""	""
"AA008"	"AA"	"Angiografi, spinal, 10 eller flera kärl"	""	""	""	""	""	""	""
"AA009"	"AA"	"Angiografi, spinal, 4-9 kärl"	""	""	""	""	""	""	""
"AA010"	"AA"	"Angiografisk undersökning med frågeställning upphävd intracerebral cirkulation"	""	""	""	""	""	""	""
"AA011"	"AA"	"Datortomografi, hjärna"	""	""	""	""	""	""	""
"AA012"	"AA"	"Datortomografi, hjärna, med intravenös kontrast"	""	""	""	""	""	""	""
"AA013"	"AA"	"Datortomografi, hjärna, med kontrast i cisterner"	""	""	""	""	""	""	""
"AA014"	"AA"	"Datortomografi, hjärna, utan intravenös kontrast"	""	""	""	""	""	""	""
"AA015"	"AA"	"Datortomografi, sella turcica"	""	""	""	""	""	""	""
"AA016"	"AA"	"Datortomografi, skallbas"	""	""	""	""	""	""	""
"AA017"	"AA"	"Datortomografi, skalle, sinus, ansiktsskelett"	""	""	""	""	""	""	""
"AA018"	"AA"	"Dopplerundersökning av hjärnans kärl"	""	""	""	""	""	""	""
"AA019"	"AA"	"Dynamisk likvortryckundersökning"	"Infusionstest. Tryckmätning sker samtidigt som man infunderar vätska i subaraknoidalrummet"	""	""	""	""	""	""
"AA020"	"AA"	"Ekoencefalografi (A-mode)"	""	""	""	""	""	""	""
"AA021"	"AA"	"Elektroencefalografi (EEG) med reaktionstidsmätning eller annat uppmärksamhetstest"	""	""	""	""	""	""	""
"AA022"	"AA"	"Elektroencefalografi (EEG), sfenoidal"	""	""	""	""	""	""	""
"AA023"	"AA"	"Elektroencefalografi (EEG), sovande"	""	""	""	""	""	""	""
"AA024"	"AA"	"Elektroencefalografi (EEG), vaken"	""	""	""	""	""	""	""
"AA025"	"AA"	"Elektromyografi (EMG) UNS"	"Avser ej elektromyografi för neurologisk monitorering som led i övervakning av vitala funktioner, se SS705 Neurologisk undersökning med elektromyografi (EMG)"	""	""	""	""	""	""
"AA026"	"AA"	"Elektromyografi (EMG) vid botulinumtoxinbehandling"	""	""	""	""	""	""	""
"AA027"	"AA"	"Elektromyografi (EMG), nål"	""	""	""	""	""	""	""
"AA028"	"AA"	"Elektromyografi (EMG), Single Fibre"	""	""	""	""	""	""	""
"AA029"	"AA"	"Elektromyografi inklusive mätning av nervledningshastighet (CV-EMG)"	""	""	""	""	""	""	""
"AA030"	"AA"	"Elektromyografi med ytelektroder (Yt-EMG)"	""	""	""	""	""	""	""
"AA031"	"AA"	"Elektronystagmografi och videonystagmografi"	"ENG eller VNG med eller utan kaloriskt prov"	""	""	""	""	""	""
"AA032"	"AA"	"Encefalografi, cisternografi"	""	""	""	""	""	""	""
"AA033"	"AA"	"Enfotonstomografi (SPECT), hjärna"	""	""	""	""	""	""	""
"AA034"	"AA"	"Epidurografi"	""	""	""	""	""	""	""
"AA035"	"AA"	"Flebografi av annan ven inom nervsystemet (utan egen kod)"	""	""	""	""	""	""	""
"AA036"	"AA"	"Flebografi av vena jugularis"	""	""	""	""	""	""	""
"AA037"	"AA"	"Flebografi, spinal"	""	""	""	""	""	""	""
"AA038"	"AA"	"Hjärnstamsaudiometri"	"Inklusive automatiserad hjärnstamsaudiometri. Inkluderar neonatal hörselscreening"	""	""	""	""	""	""
"AA039"	"AA"	"Klinisk undersökning av nervsystemet"	""	""	""	""	""	""	""
"AA041"	"AA"	"Klinisk undersökning för att diagnostisera upphävd hjärnfunktion"	"Konstaterande av död med hjälp av direkta kriterier för att påvisa att hjärnan totalt och oåterkalleligt har upphört att fungera (i dagligt tal kallat hjärndöd)"	""	""	""	""	""	""
"AA042"	"AA"	"Kortikografi"	"Intraoperativ EEG-registrering"	""	""	""	""	""	""
"AA043"	"AA"	"L-Dopa-test"	"Vid misstänkt Parkinsonism. Den kliniska effekten av en engångsdos L-Dopa undersöks"	""	""	""	""	""	""
